日期,应用名称,国家,渠道号,新用户,交易数,信息费,预计收入,日活跃用户数,次日留存用户数
2018-09-10,StarJM,孟加拉国,MUUUU553,4,0,0.00,0.00,54,1
2018-09-10,Temple28,哥伦比亚,MUUU1001,0,0,0.00,0.00,1,0
2018-09-10,"3D Motor",孟加拉国,MUUU580,0,0,0.00,0.00,2,0
2018-09-10,FruitU,柬埔寨,MUUUU571,0,0,0.00,0.00,1,0
2018-09-10,ZYAPAY,印度,MUU58001,3,0,0.00,0.00,29,1
2018-09-10,Apple,塞内加尔,MUUUU571,0,0,0.00,0.00,2,0
2018-09-10,Temple28,牙买加,MUUU1001,0,0,0.00,0.00,2,0
2018-09-10,MythWar,尼加拉瓜,MUUU601,0,0,0.00,0.00,1,0
2018-09-10,"T Run",叙利亚,MUUU605,0,0,0.00,0.00,1,0
2018-09-10,"Sea Saga",泰国,MUUUU,0,0,0.00,0.00,1,0
2018-09-10,CTSniper,阿根廷,MUUU575,1,0,0.00,0.00,4,0
2018-09-10,RaceJM,文莱,MUUU558S,0,0,0.00,0.00,1,0
2018-09-10,FruitTH,喀麦隆,MUUU575,0,0,0.00,0.00,2,0
2018-09-10,CTSniper,美国,MUUU575,3,0,0.00,0.00,13,0
2018-09-10,"Sea Saga",美国,MUUUU,0,0,0.00,0.00,2,0
2018-09-10,GunStrik,巴布亚新几内亚,MUUU607,0,0,0.00,0.00,1,0
2018-09-10,Temple28,萨尔瓦多,MUUU1001,0,0,0.00,0.00,1,0
2018-09-10,RaceJM,尼日利亚,MUUU601,0,0,0.00,0.00,6,0
2018-09-10,FishPloy,印度,MUUUU571,2,0,0.00,0.00,22,0
2018-09-10,AsokaRev,巴西,MUUU1001,0,0,0.00,0.00,1,0
2018-09-10,iZuma,刚果共和国,MUUU601,1,0,0.00,0.00,3,0
2018-09-10,AsokaRev,马里共和国,MUUU5751,0,0,0.00,0.00,2,0
2018-09-10,ball,利比亚,MUUU594,0,0,0.00,0.00,1,0
2018-09-10,FishPloy,孟加拉国,MUUUU571,2,0,0.00,0.00,17,0
2018-09-10,Shoot,安哥拉,MUUUU,0,0,0.00,0.00,1,0
2018-09-10,GunStrik,阿富汗,MUUU607,0,0,0.00,0.00,1,0
2018-09-10,RaceJM,几内亚,MUUU558S,1,0,0.00,0.00,12,0
2018-09-10,GunStrik,利比亚,MUUU607,0,0,0.00,0.00,2,1
2018-09-10,ZYAPAY,卢旺达,MUU58001,0,0,0.00,0.00,1,0
2018-09-10,FruitTH,埃及,MUUU556,0,0,0.00,0.00,1,0
2018-09-10,RaceJM,危地马拉,MUUU558S,0,0,0.00,0.00,15,0
2018-09-10,"T Run",埃塞俄比亚,MUUU601,0,0,0.00,0.00,1,0
2018-09-10,Stickmen,刚果共和国,MUUU558S,1,0,0.00,0.00,2,0
2018-09-10,StarJM,古巴,MUUUU553,0,0,0.00,0.00,3,0
2018-09-10,GunStrik,贝宁,MUUU607,0,0,0.00,0.00,1,0
2018-09-10,SpRacing,肯尼亚,MUUU5751,0,0,0.00,0.00,1,0
2018-09-10,Juice,尼日利亚,MUUU607,0,0,0.00,0.00,1,0
2018-09-10,ball,塞拉利昂,MUUU594,0,0,0.00,0.00,1,0
2018-09-10,Apple,巴基斯坦,MUUU594,0,0,0.00,0.00,4,0
2018-09-10,Juice,埃及,MUUU607,0,0,0.00,0.00,1,0
2018-09-10,RaceJM,柬埔寨,MUUU556S,1,0,0.00,0.00,1,0
2018-09-10,DeadTrig,牙买加,MUUU5753,0,0,0.00,0.00,1,0
2018-09-10,Takedown,巴基斯坦,MUUU607,0,0,0.00,0.00,3,0
2018-09-10,CTSniper,坦桑尼亚,MUUU575,2,0,0.00,0.00,15,0
2018-09-10,GunStrik,科特迪瓦,MUUU607,2,0,0.00,0.00,4,0
2018-09-10,RaceJM,危地马拉,MUUU601,0,0,0.00,0.00,2,0
2018-09-10,yeman,印度,MUUU580,1,0,0.00,0.00,28,0
2018-09-10,Temple28,马达加斯加,MUUU1001,0,0,0.00,0.00,9,0
2018-09-10,GunStrik,尼加拉瓜,MUUU607,0,0,0.00,0.00,1,0
2018-09-10,FruitTH,加纳,MUUU575,0,0,0.00,0.00,4,0
2018-09-10,"T Run",喀麦隆,MUUUU571,0,0,0.00,0.00,2,0
2018-09-10,FruitU,加纳,MUUUU571,0,0,0.00,0.00,1,0
2018-09-10,iZuma,菲律宾,MUUU601,0,0,0.00,0.00,1,0
2018-09-10,DeadTrig,赤道几内亚,MUUU5753,0,0,0.00,0.00,2,0
2018-09-10,CTSniper,英国,MUUU575,0,0,0.00,0.00,1,0
2018-09-10,RaceJM,塔吉克斯坦,MUUU558S,0,0,0.00,0.00,6,0
2018-09-10,Temple28,也门,MUUU1001,0,0,0.00,0.00,3,2
2018-09-10,RaceJM,马拉维,MUUU607,0,0,0.00,0.00,2,0
2018-09-10,FruitU,乌兹别克斯坦,MUUUU571,0,0,0.00,0.00,1,0
2018-09-10,yeman,伊朗,MUUU580,0,0,0.00,0.00,1,0
2018-09-10,Shoot,南非,MUUUU,0,0,0.00,0.00,3,0
2018-09-10,FruitTH,墨西哥,MUUU575,0,0,0.00,0.00,2,0
2018-09-10,"Teen Pat",印度,MUUU594,0,0,0.00,0.00,15,0
2018-09-10,StarJM,巴布亚新几内亚,MUUU607,0,0,0.00,0.00,1,0
2018-09-10,RaceJM,摩洛哥,MUUU601,0,0,0.00,0.00,1,0
2018-09-10,CTSniper,格鲁吉亚,MUUU575,0,0,0.00,0.00,1,0
2018-09-10,CTSniper,利比亚,MUUU575,3,0,0.00,0.00,23,0
2018-09-10,AsokaRev,埃塞俄比亚,MUUU5751,0,0,0.00,0.00,6,1
