"Date","Affiliate","Publisher","Product","In-app Item ID","In-app Item Title","Transactions","Purchase Status","Estimated Revenue (USD)"
"2018-09-10","9Game","OutFit 7","My Talking Angela","com.outfit7.mytalkingangela.coindoubler","Double Coins in Games","1","Purchased","0.14"
"2018-09-10","9Game","OutFit 7","My Talking Angela","com.outfit7.mytalkingangela.diamonds.bag","Bag of Diamonds","1","Purchased","0.24"
"2018-09-10","9Game","OutFit 7","My Talking Angela","com.outfit7.mytalkingangela.diamonds.pile","Pile of Diamonds","1","Purchased","0.15"
"2018-09-10","9Game","OutFit 7","My Talking Angela","com.outfit7.mytalkingangela.diamonds.pile_upsale","Pile of Diamonds","2","Purchased","0.89"
"2018-09-10","9Game","Scopely","The Walking Dead: Road to Survival","com.scopely.headshot.iap.to.wave01.1.num1","Special Offer 1 22A","1","Purchased","0.6"
"2018-09-11","9Game","Funplus","Family Farm Seaside","com.funplus.familyfarm.rc.abunch","Bunch","1","Purchased","0.45"
"2018-09-11","9Game","Kiloo","Subway Surfers","com.kiloo.subways.coinstier1","7500 Coins","1","Purchased","0.68"
"2018-09-11","9Game","Kiloo","Subway Surfers","com.kiloo.subways.keystier0","15 Keys","1","Purchased","0.64"
"2018-09-11","9Game","OutFit 7","My Talking Angela","com.outfit7.mytalkingangela.bundle.baby_discount60p","Starter Bundle 60 percent","1","Purchased","0.24"
"2018-09-11","9Game","OutFit 7","My Talking Angela","com.outfit7.mytalkingangela.diamonds.box_discount70p","Box of Diamonds 70 percent","2","Purchased","1"
"2018-09-11","9Game","OutFit 7","My Talking Angela","com.outfit7.mytalkingangela.diamonds.pile_upsale","Pile of Diamonds","1","Purchased","0.21"
"2018-09-11","9Game","OutFit 7","My Talking Tom","com.outfit7.mytalkingtomfree.diamonds.box_discount70p","Box of Diamonds 70 per cent discount","1","Purchased","0.5"
"2018-09-11","9Game","OutFit 7","Talking Tom Gold Run","com.outfit7.talkingtomgoldrun.dynamite.batch","80 Dynamites","1","Purchased","1.34"
"2018-09-11","9Game","OutFit 7","Talking Tom Gold Run","com.outfit7.talkingtomgoldrun.dynamite.batch.upsale","Dynamite Batch","1","Purchased","0.68"
"2018-09-11","9Game","Scopely","The Walking Dead: Road to Survival","com.scopely.headshot.iap.hc.price5","Pack of 330 coins","1","Purchased","3.18"
"2018-09-11","9Game","Scopely","The Walking Dead: Road to Survival","com.scopely.headshot.iap.to.wave01.1.num2","Special Offer 1 22J","1","Purchased","0.62"
"2018-09-12","9Game","Fingersoft","Hill Climb Racing","com.fingersoft.hillclimb.bundle15","BOOTCAMP BUNDLE","1","Purchased","0.83"
"2018-09-12","9Game","Fingersoft","Hill Climb Racing","com.fingersoft.hillclimb.iap3.adfree_3000000coins","3 000 000 coins","1","Purchased","0.83"
"2018-09-12","9Game","Funplus","Family Farm Seaside","com.funplus.familyfarm.rc.astack","Stack of RC","1","Purchased","0.3"
"2018-09-12","9Game","Kiloo","Subway Surfers","com.kiloo.subways.keystier0","15 Keys","1","Purchased","0.99"
"2018-09-12","9Game","OutFit 7","My Talking Angela","com.outfit7.mytalkingangela.bundle.baby_discount60p","Starter Bundle 60 percent","3","Purchased","1.23"
"2018-09-12","9Game","OutFit 7","My Talking Tom","com.outfit7.mytalkingtomfree.coindoubler","Double Coins in Games","1","Purchased","0.15"
"2018-09-12","9Game","OutFit 7","My Talking Tom","com.outfit7.mytalkingtomfree.diamonds.pile","Pile of Diamonds","1","Purchased","0.15"
"2018-09-12","9Game","OutFit 7","My Talking Tom","com.outfit7.mytalkingtomfree.goldcoins.stack","Stack of Gold Coins","2","Purchased","0.27"
"2018-09-12","9Game","Scopely","The Walking Dead: Road to Survival","com.scopely.headshot.iap.to.wave01.1.num2","Special Offer 1 22J","1","Purchased","0.74"
"2018-09-12","9Game","Wargaming Group","World of Tanks Blitz","feb_2015_essentials_kit","Essentials Kit","1","Purchased","1.8"
"2018-09-13","9Game","Fingersoft","Hill Climb Racing","com.fingersoft.hillclimb.bundle10","TRICK BUNDLE","1","Purchased","0.37"
"2018-09-13","9Game","Kiloo","Subway Surfers","com.kiloo.subways.coinstier1","7500 Coins","1","Purchased","0.09"
"2018-09-13","9Game","OutFit 7","My Talking Angela","com.outfit7.mytalkingangela.diamonds.box_discount70p","Box of Diamonds 70 percent","1","Purchased","0.43"
"2018-09-13","9Game","OutFit 7","My Talking Angela","com.outfit7.mytalkingangela.diamonds.pile","Pile of Diamonds","1","Purchased","0.15"
"2018-09-13","9Game","OutFit 7","My Talking Tom","com.outfit7.mytalkingtomfree.diamonds.box_discount70p","Box of Diamonds 70 per cent discount","1","Purchased","0.5"
