Ruigame,Time,Revenue,Payout
0,Mar-18,125.55,21.34
1,Apr-18,102.62,14.78
2,May-18,202.84,23.19
3,Jun-18,93.33,13.78
4,Jul-18,80.84,12.57
5,Aug-18,100.01,10.81
Coconut,Time,Revenue,Payout
0,Mar-18,0,0
1,Apr-18,0.24,0.13
2,May-18,0,0
3,Jun-18,0,0
4,Jul-18,0,0
5,Aug-18,0,0
jingyin,Time,Revenue,Payout
0,Mar-18,697.71,160.23
1,Apr-18,652.25,143.41
2,May-18,639.38,142.56
3,Jun-18,680.21,135.77
4,Jul-18,452.77,94.28
5,Aug-18,470.91,98.4
CDyouxifang,Time,Revenue,Payout
0,Mar-18,200.22,46.86
1,Apr-18,158.53,43.8
2,May-18,198.31,48.57
3,Jun-18,177.59,45.83
4,Jul-18,166.68,40.01
5,Aug-18,142.3,30.58
shenyou2,Time,Revenue,Payout
0,Mar-18,45.79,12.68
1,Apr-18,38.23,10.92
2,May-18,39.96,11.7
3,Jun-18,29.76,8.03
4,Jul-18,22.11,5.48
5,Aug-18,24.61,5.87
Szshenyou,Time,Revenue,Payout
0,Mar-18,0,0
1,Apr-18,0,0
2,May-18,0,0
3,Jun-18,0,0
4,Jul-18,0.27,0.01
5,Aug-18,1.36,0.33
UC_CP2017,Time,Revenue,Payout
0,Mar-18,"6,484.26",6.79
1,Apr-18,"2,546.97",1.07
2,May-18,"1,539.25",1.81
3,Jun-18,849.77,4.39
4,Jul-18,682.17,0.06
5,Aug-18,544.1,0.13
UC_2015,Time,Revenue,Payout
0,Aug-18,29546.57,5149.04
1,Jul-18,45820,8378.84
2,Jun-18,85235.81,14886.22
3,May-18,175369.32,30809.57
4,Apr-18,165555.64,36433.74
5,Mar-18,203962.96,45572.94
6,Feb-18,253514.85,55257.97
7,Jan-18,458496.01,92263.59
8,Dec-17,458975.93,91650.32
9,Nov-17,542565.27,109684.55
10,Oct-17,694976.24,105763.16
11,Sep-17,553913.62,83698.05
12,Aug-17,524072.75,75477.93
13,Jul-17,689512.21,101410.25
14,Jun-17,441667.84,65300.62
15,May-17,78112.42,10818.05
16,Apr-17,43584.96,5483.33
17,Mar-17,67518.86,8443.82
18,Feb-17,110060.86,13666.84
uczhuanyong,Time,Revenue,Payout
0,Aug-18,3134.59,828.97
1,Jul-18,9623.44,2831.95
2,Jun-18,10003.77,3188.48
3,May-18,21947.63,6690.42
4,Apr-18,19921.18,6811.5
5,Mar-18,21837.96,7548.49
6,Feb-18,15662.38,5082.49
7,Jan-18,16866.72,5208.2
8,Dec-17,11025.42,3408.63
