日期,应用名称,国家,渠道号,新用户,交易数,信息费,预计收入,日活跃用户数,次日留存用户数
2018-09-10,SpaceDe1,印度尼西亚,MUUU601,2,0,0.00,0.00,5,0
2018-09-10,CarRace,苏丹,MUUU607,0,0,0.00,0.00,4,1
2018-09-10,"CityR uc",印度,MUUU609,5,4,4.30,1.41,50,0
2018-09-10,WarRev3,文莱,MUUU585,0,0,0.00,0.00,1,0
2018-09-10,CarRace,科特迪瓦,MUUU609,1,0,0.00,0.00,1,0
2018-09-10,WarRev3,伊拉克,MUUU585,1,0,0.00,0.00,5,0
2018-09-10,"SWAT STR",中华人民共和国,MUUU585,0,0,0.00,0.00,3,0
2018-09-10,WarRev3,土耳其,MUUU585,0,0,0.00,0.00,2,0
2018-09-10,"SWAT STR",乌兹别克斯坦,MUUU585,0,0,0.00,0.00,4,0
2018-09-10,"SWAT STR",哥伦比亚,MUUU585,0,0,0.00,0.00,1,0
2018-09-10,"SWAT STR",尼日利亚,MUUU585,4,0,0.00,0.00,25,0
2018-09-10,CarRace,孟加拉国,MUUU609,1,0,0.00,0.00,9,0
2018-09-10,"CityR uc",肯尼亚,MUUU616,1,0,0.00,0.00,1,0
2018-09-10,SpaceDe1,菲律宾,MUUU607,0,0,0.00,0.00,3,0
2018-09-10,CarRace,孟加拉国,MUUU615,0,0,0.00,0.00,6,0
2018-09-10,CarRace,不丹,MUUU616,0,0,0.00,0.00,1,0
2018-09-10,"CityR uc",索马里,MUUU616,0,0,0.00,0.00,1,0
2018-09-10,WarRev3,智利,MUUU585,0,0,0.00,0.00,1,0
2018-09-10,"CityR uc",印度,MUUU616,4,2,1.33,0.49,25,0
2018-09-10,"SWAT STR",墨西哥,MUUU585,0,0,0.00,0.00,2,0
2018-09-10,bxqy,贝宁,MUUU609,1,0,0.00,0.00,2,0
2018-09-10,bxqy,毛里塔尼亚,MUUU609,1,0,0.00,0.00,1,0
2018-09-10,SpaceDe1,菲律宾,MUUU601,0,0,0.00,0.00,6,0
2018-09-10,"CityR uc",孟加拉国,MUUU601,1,0,0.00,0.00,11,0
2018-09-10,CarRace,埃塞俄比亚,MUUU607,0,0,0.00,0.00,1,0
2018-09-10,"SWAT STR",缅甸,MUUU585,2,2,2.25,0.72,27,1
2018-09-10,bxqy,圭亚那,MUUU609,0,0,0.00,0.00,2,0
2018-09-10,"SWAT STR",新加坡,MUUU585,0,0,0.00,0.00,2,0
2018-09-10,CarRace,叙利亚,MUUU607,0,0,0.00,0.00,3,0
2018-09-10,"SWAT STR",孟加拉国,MUUU585,0,0,0.00,0.00,49,1
2018-09-10,SpaceDe1,尼日利亚,MUUU580,3,0,0.00,0.00,6,0
2018-09-10,CarRace,巴基斯坦,MUUU607,1,4,3.80,1.52,10,0
2018-09-10,"SWAT STR",巴基斯坦,MUUU585,4,1,0.82,0.33,51,2
2018-09-10,WarRev3,卢旺达,MUUU585,0,0,0.00,0.00,1,0
2018-09-10,SpaceDe1,巴基斯坦,MUUU580,2,0,0.00,0.00,12,1
2018-09-10,SpaceDe1,尼泊尔,MUUU607,0,0,0.00,0.00,4,0
2018-09-10,SpaceDe1,叙利亚,MUUU601,0,0,0.00,0.00,6,0
2018-09-10,SpaceDe1,印度尼西亚,MUUU580,0,0,0.00,0.00,1,1
2018-09-10,CarRace,印度,MUUU617,1,0,0.00,0.00,7,0
2018-09-10,CarRace,马里共和国,MUUU615,0,0,0.00,0.00,1,0
2018-09-10,SpaceDe1,伊拉克,MUUU601,0,0,0.00,0.00,1,0
2018-09-10,bxqy,也门,MUUU609,0,0,0.00,0.00,5,1
2018-09-10,bxqy,塞舌尔,MUUU609,0,0,0.00,0.00,1,0
2018-09-10,"CityR uc",孟加拉国,MUUU597,1,0,0.00,0.00,6,0
2018-09-10,WarRev3,厄立特里亚,MUUU585,0,0,0.00,0.00,1,0
2018-09-10,CarRace,孟加拉国,MUUU607,1,0,0.00,0.00,11,0
2018-09-10,"SWAT STR",萨尔瓦多,MUUU585,0,0,0.00,0.00,1,0
2018-09-10,bxqy,叙利亚,MUUU609,0,0,0.00,0.00,6,0
2018-09-10,CarRace,马达加斯加,MUUU607,0,0,0.00,0.00,1,0
2018-09-10,"CityR uc",乌克兰,MUUU609,0,0,0.00,0.00,1,0
2018-09-10,CarRace,肯尼亚,MUUU616,0,0,0.00,0.00,1,0
2018-09-10,"CityR uc",埃及,MUUU605,0,0,0.00,0.00,1,0
2018-09-10,SpaceDe1,索马里,MUUU580,0,0,0.00,0.00,1,0
2018-09-10,bxqy,关岛,MUUU609,0,0,0.00,0.00,1,0
2018-09-10,SpaceDe1,印度尼西亚,MUUU607,0,0,0.00,0.00,3,0
2018-09-10,"CityR uc",尼泊尔,MUUU601,1,0,0.00,0.00,1,0
2018-09-10,"SWAT STR",马来西亚,MUUU585,0,0,0.00,0.00,4,0
2018-09-10,"Speed Fu",印度,MUUU585,0,0,0.00,0.00,1,0
2018-09-10,bxqy,尼泊尔,MUUU609,2,0,0.00,0.00,4,0
2018-09-10,WarRev3,埃塞俄比亚,MUUU585,2,0,0.00,0.00,12,0
2018-09-10,SpaceDe1,加纳,MUUU607,0,0,0.00,0.00,1,0
2018-09-10,bxqy,蒙古国,MUUU609,0,0,0.00,0.00,1,0
2018-09-10,bxqy,阿尔及利亚,MUUU609,1,0,0.00,0.00,8,1
2018-09-10,"CityR uc",也门,MUUU605,0,0,0.00,0.00,1,0
2018-09-10,WarRev3,越南,MUUU585,0,0,0.00,0.00,1,0
2018-09-10,bxqy,加纳,MUUU609,0,0,0.00,0.00,2,0
2018-09-10,CarRace,南非,MUUU616,1,0,0.00,0.00,1,0
2018-09-10,SpaceDe1,墨西哥,MUUU607,0,0,0.00,0.00,1,0
2018-09-10,CarRace,毛里塔尼亚,MUUU607,1,0,0.00,0.00,1,0
2018-09-10,CarRace,伊拉克,MUUU607,0,0,0.00,0.00,5,1
2018-09-10,"Speed Fu",赞比亚,MUUU585,0,0,0.00,0.00,2,0
2018-09-10,WarRev3,埃及,MUUU585,1,0,0.00,0.00,7,0
2018-09-10,WarRev3,古巴,MUUU585,4,0,0.00,0.00,17,0
2018-09-10,"SWAT STR",印度,MUUU585,9,1,0.55,0.21,198,6
2018-09-10,SpaceDe1,巴西,MUUU607,0,0,0.00,0.00,1,0
2018-09-10,CarRace,缅甸,MUUU607,1,2,6.74,2.16,4,0
2018-09-10,NinjaRun,印度,MUUU605,0,2,0.71,0.20,12,0
2018-09-10,"SWAT STR",埃及,MUUU585,0,0,0.00,0.00,2,0
2018-09-10,SpaceDe1,阿富汗,MUUU607,0,0,0.00,0.00,1,0
2018-09-10,WarRev3,利比里亚,MUUU585,0,0,0.00,0.00,1,0
2018-09-10,SpaceDe1,几内亚,MUUU601,1,0,0.00,0.00,1,0
2018-09-10,SpaceDe1,阿尔及利亚,MUUU607,0,0,0.00,0.00,1,0
2018-09-10,"CityR uc",赞比亚,MUUU600,1,0,0.00,0.00,1,0
